"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty48287","Lee County, TX",37417
"cty46073","Jerauld County, SD",37386
"cty27081","Lincoln County, MN",37382
"cty01023","Choctaw County, AL",37350
"cty22107","Tensas Parish, LA",37313
"cty48105","Crockett County, TX",37257
"cty27129","Renville County, MN",37248
"cty46003","Aurora County, SD",37245
"cty20067","Grant County, KS",37215
"cty48169","Garza County, TX",37198
"cty31113","Logan County, NE",37190
"cty22109","Terrebonne Parish, LA",37138
"cty28021","Claiborne County, MS",37094
"cty04011","Greenlee County, AZ",37048
"cty01129","Washington County, AL",37043
"cty48127","Dimmit County, TX",37036
"cty46043","Douglas County, SD",37010
"cty46023","Charles Mix County, SD",37007
"cty48255","Karnes County, TX",37006
"cty48013","Atascosa County, TX",36956
"cty32027","Pershing County, NV",36953
"cty38015","Burleigh County, ND",36928
"cty30073","Pondera County, MT",36926
"cty27107","Norman County, MN",36913
"cty40129","Roger Mills County, OK",36890
"cty22047","Iberville Parish, LA",36883
"cty48415","Scurry County, TX",36863
"cty48123","DeWitt County, TX",36863
"cty48237","Jack County, TX",36840
"cty19027","Carroll County, IA",36810
"cty30097","Sweet Grass County, MT",36799
"cty01119","Sumter County, AL",36776
"cty31123","Morrill County, NE",36770
"cty48115","Dawson County, TX",36760
"cty56041","Uinta County, WY",36759
"cty48065","Carson County, TX",36759
"cty30043","Jefferson County, MT",36756
"cty38099","Walsh County, ND",36747
"cty16031","Cassia County, ID",36747
"cty56039","Teton County, WY",36744
"cty20193","Thomas County, KS",36722
"cty38047","Logan County, ND",36722
"cty31167","Stanton County, NE",36684
"cty48369","Parmer County, TX",36678
"cty56037","Sweetwater County, WY",36665
"cty20039","Decatur County, KS",36660
"cty48447","Throckmorton County, TX",36644
"cty31107","Knox County, NE",36642
"cty31041","Custer County, NE",36615
"cty56035","Sublette County, WY",36606
"cty20025","Clark County, KS",36542
"cty36085","Richmond County, NY",36513
"cty31013","Box Butte County, NE",36501
"cty22093","St. James Parish, LA",36479
"cty48205","Hartley County, TX",36453
"cty31021","Burt County, NE",36440
"cty38069","Pierce County, ND",36435
"cty06091","Sierra County, CA",36427
"cty30045","Judith Basin County, MT",36407
"cty19161","Sac County, IA",36406
"cty30017","Custer County, MT",36392
"cty48433","Stonewall County, TX",36369
"cty46085","Lyman County, SD",36365
"cty48313","Madison County, TX",36365
"cty20023","Cheyenne County, KS",36332
"cty08071","Las Animas County, CO",36320
"cty22057","Lafourche Parish, LA",36282
"cty46109","Roberts County, SD",36276
"cty31057","Dundy County, NE",36275
"cty27149","Stevens County, MN",36272
"cty49051","Wasatch County, UT",36271
"cty48329","Midland County, TX",36269
"cty22125","West Feliciana Parish, LA",36260
"cty46053","Gregory County, SD",36238
"cty48457","Tyler County, TX",36233
"cty46135","Yankton County, SD",36212
"cty27143","Sibley County, MN",36211
"cty34003","Bergen County, NJ",36202
"cty20137","Norton County, KS",36201
"cty36081","Queens County, NY",36183
"cty46125","Turner County, SD",36148
"cty28039","George County, MS",36140
"cty48087","Collingsworth County, TX",36137
"cty31073","Gosper County, NE",36101
"cty32007","Elko County, NV",36099
"cty46077","Kingsbury County, SD",36092
"cty31139","Pierce County, NE",36082
"cty38101","Ward County, ND",36081
"cty31181","Webster County, NE",36065
"cty31049","Deuel County, NE",36063
"cty27173","Yellow Medicine County, MN",36052
"cty19141","O'Brien County, IA",36013
"cty48323","Maverick County, TX",36005
"cty48341","Moore County, TX",36001
"cty56013","Fremont County, WY",35993
"cty31099","Kearney County, NE",35987
"cty31059","Fillmore County, NE",35962
"cty36119","Westchester County, NY",35959
"cty38077","Richland County, ND",35954
"cty49015","Emery County, UT",35954
"cty27015","Brown County, MN",35946
"cty27045","Fillmore County, MN",35933
"cty27117","Pipestone County, MN",35925
"cty34013","Essex County, NJ",35917
"cty22077","Pointe Coupee Parish, LA",35898
"cty31169","Thayer County, NE",35889
"cty31023","Butler County, NE",35885
"cty38073","Ransom County, ND",35883
"cty20051","Ellis County, KS",35876
"cty22027","Claiborne Parish, LA",35815
"cty31089","Holt County, NE",35800
"cty56031","Platte County, WY",35797
"cty48483","Wheeler County, TX",35789
"cty22039","Evangeline Parish, LA",35779
"cty22013","Bienville Parish, LA",35771
"cty56029","Park County, WY",35758
"cty31141","Platte County, NE",35735
"cty31175","Valley County, NE",35719
"cty28041","Greene County, MS",35694
"cty16077","Power County, ID",35679
"cty31015","Boyd County, NE",35678
"cty46129","Walworth County, SD",35666
"cty48107","Crosby County, TX",35634
"cty35015","Eddy County, NM",35614
"cty22097","St. Landry Parish, LA",35610
"cty46069","Hyde County, SD",35595
"cty40093","Major County, OK",35589
"cty22113","Vermilion Parish, LA",35588
"cty48079","Cochran County, TX",35527
"cty40073","Kingfisher County, OK",35522
"cty31101","Keith County, NE",35510
"cty56033","Sheridan County, WY",35510
"cty30057","Madison County, MT",35503
"cty46007","Bennett County, SD",35475
"cty20167","Russell County, KS",35465
"cty20171","Scott County, KS",35464
"cty16065","Madison County, ID",35449
"cty38071","Ramsey County, ND",35399
"cty27039","Dodge County, MN",35394
"cty46107","Potter County, SD",35385
"cty16041","Franklin County, ID",35379
"cty55093","Pierce County, WI",35368
"cty46105","Perkins County, SD",35361
"cty31081","Hamilton County, NE",35354
"cty27067","Kandiyohi County, MN",35342
"cty27063","Jackson County, MN",35342
"cty34039","Union County, NJ",35330
"cty22045","Iberia Parish, LA",35328
"cty30009","Carbon County, MT",35321
"cty38031","Foster County, ND",35314
"cty19165","Shelby County, IA",35305
"cty48445","Terry County, TX",35262
"cty36041","Hamilton County, NY",35255
"cty19091","Humboldt County, IA",35241
"cty38039","Griggs County, ND",35235
"cty19011","Benton County, IA",35224
"cty51600","Fairfax city, VA",35217
"cty28037","Franklin County, MS",35213
"cty40003","Alfalfa County, OK",35213
"cty46011","Brookings County, SD",35197
"cty31075","Grant County, NE",35189
"cty27093","Meeker County, MN",35177
"cty38003","Barnes County, ND",35177
"cty08113","San Miguel County, CO",35175
"cty16021","Boundary County, ID",35167
"cty46079","Lake County, SD",35163
"cty27087","Mahnomen County, MN",35162
"cty31151","Saline County, NE",35159
"cty20195","Trego County, KS",35155
"cty08045","Garfield County, CO",35129
"cty08103","Rio Blanco County, CO",35125
"cty20181","Sherman County, KS",35120
"cty08121","Washington County, CO",35096
"cty30105","Valley County, MT",35091
"cty27127","Redwood County, MN",35087
"cty55091","Pepin County, WI",35087
"cty16023","Butte County, ID",35081
"cty46047","Fall River County, SD",35078
"cty48111","Dallam County, TX",35078
"cty31037","Colfax County, NE",35077
"cty19035","Cherokee County, IA",35052
"cty46091","Marshall County, SD",35049
"cty16051","Jefferson County, ID",35013
"cty19131","Mitchell County, IA",34988
"cty31077","Greeley County, NE",34988
"cty48481","Wharton County, TX",34981
"cty48149","Fayette County, TX",34975
"cty27041","Douglas County, MN",34948
"cty48507","Zavala County, TX",34943
"cty08095","Phillips County, CO",34942
"cty08087","Morgan County, CO",34942
"cty19143","Osceola County, IA",34939
"cty31159","Seward County, NE",34933
"cty32021","Mineral County, NV",34930
"cty02180","Nome Census Area, AK",34929
"cty20017","Chase County, KS",34922
"cty46015","Brule County, SD",34920
"cty27001","Aitkin County, MN",34912
"cty19009","Audubon County, IA",34903
"cty16003","Adams County, ID",34881
"cty38093","Stutsman County, ND",34879
"cty48103","Crane County, TX",34873
"cty22061","Lincoln Parish, LA",34870
"cty19149","Plymouth County, IA",34841
"cty36079","Putnam County, NY",34837
"cty02122","Kenai Peninsula Borough, AK",34817
"cty31161","Sheridan County, NE",34814
"cty48211","Hemphill County, TX",34804
"cty08009","Baca County, CO",34803
"cty13307","Webster County, GA",34803
"cty31185","York County, NE",34799
"cty46031","Corson County, SD",34746
"cty27133","Rock County, MN",34746
"cty51510","Alexandria city, VA",34739
"cty48185","Grimes County, TX",34734
"cty19047","Crawford County, IA",34708
"cty46033","Custer County, SD",34698
"cty31129","Nuckolls County, NE",34691
"cty48425","Somervell County, TX",34670
"cty46061","Hanson County, SD",34664
"cty27029","Clearwater County, MN",34654
"cty56025","Natrona County, WY",34653
"cty08063","Kit Carson County, CO",34649
"cty20047","Edwards County, KS",34645
"cty35045","San Juan County, NM",34628
"cty19075","Grundy County, IA",34626
"cty19151","Pocahontas County, IA",34600
"cty27019","Carver County, MN",34591
"cty48259","Kendall County, TX",34587
"cty56017","Hot Springs County, WY",34579
"cty30001","Beaverhead County, MT",34567
"cty35055","Taos County, NM",34559
"cty27033","Cottonwood County, MN",34553
"cty46081","Lawrence County, SD",34546
"cty38081","Sargent County, ND",34543
"cty48199","Hardin County, TX",34538
"cty46087","McCook County, SD",34513
"cty22123","West Carroll Parish, LA",34463
"cty55099","Price County, WI",34458
"cty40039","Custer County, OK",34446
"cty16011","Bingham County, ID",34444
"cty31029","Chase County, NE",34440
"cty48155","Foard County, TX",34431
"cty20157","Republic County, KS",34428
"cty35025","Lea County, NM",34424
"cty13263","Talbot County, GA",34421
"cty26083","Keweenaw County, MI",34419
"cty27027","Clay County, MN",34417
"cty22035","East Carroll Parish, LA",34417
"cty31045","Dawes County, NE",34405
"cty31007","Banner County, NE",34395
"cty19063","Emmet County, IA",34395
"cty04001","Apache County, AZ",34376
"cty48289","Leon County, TX",34375
"cty19021","Buena Vista County, IA",34370
"cty27139","Scott County, MN",34356
"cty49049","Utah County, UT",34348
"cty27119","Polk County, MN",34338
"cty22005","Ascension Parish, LA",34333
"cty48089","Colorado County, TX",34314
"cty02090","Fairbanks North Star Borough, AK",34302
"cty39137","Putnam County, OH",34297
"cty30101","Toole County, MT",34296
"cty55029","Door County, WI",34277
"cty27171","Wright County, MN",34275
"cty31095","Jefferson County, NE",34245
"cty31051","Dixon County, NE",34235
"cty22037","East Feliciana Parish, LA",34230
"cty46051","Grant County, SD",34208
"cty19037","Chickasaw County, IA",34208
"cty27145","Stearns County, MN",34200
"cty19095","Iowa County, IA",34194
"cty30037","Golden Valley County, MT",34176
"cty19017","Bremer County, IA",34148
"cty27113","Pennington County, MN",34136
"cty27121","Pope County, MN",34129
"cty31163","Sherman County, NE",34113
"cty49041","Sevier County, UT",34112
"cty31105","Kimball County, NE",34101
"cty08125","Yuma County, CO",34100
"cty22069","Natchitoches Parish, LA",34093
"cty31145","Red Willow County, NE",34092
"cty31065","Furnas County, NE",34086
"cty27085","McLeod County, MN",34083
"cty48025","Bee County, TX",34053
"cty31017","Brown County, NE",34037
"cty46127","Union County, SD",34033
"cty46101","Moody County, SD",34030
"cty49023","Juab County, UT",34021
"cty46117","Stanley County, SD",34007
"cty08075","Logan County, CO",33986
"cty31177","Washington County, NE",33978
"cty27083","Lyon County, MN",33969
"cty51107","Loudoun County, VA",33968
"cty20183","Smith County, KS",33965
"cty27161","Waseca County, MN",33961
"cty56045","Weston County, WY",33954
"cty48359","Oldham County, TX",33952
"cty28153","Wayne County, MS",33949
"cty27101","Murray County, MN",33944
"cty22121","West Baton Rouge Parish, LA",33936
"cty08117","Summit County, CO",33929
"cty29041","Chariton County, MO",33929
"cty38027","Eddy County, ND",33927
"cty27153","Todd County, MN",33923
"cty20135","Ness County, KS",33922
"cty46013","Brown County, SD",33909
"cty48403","Sabine County, TX",33908
"cty27025","Chisago County, MN",33905
"cty22101","St. Mary Parish, LA",33903
"cty17189","Washington County, IL",33895
"cty20119","Meade County, KS",33891
"cty38033","Golden Valley County, ND",33890
"cty08019","Clear Creek County, CO",33888
"cty27005","Becker County, MN",33878
"cty40151","Woods County, OK",33872
"cty48395","Robertson County, TX",33868
"cty51610","Falls Church city, VA",33853
"cty34017","Hudson County, NJ",33850
"cty38005","Benson County, ND",33845
"cty19055","Delaware County, IA",33845
"cty51059","Fairfax County, VA",33831
"cty19171","Tama County, IA",33817
"cty38017","Cass County, ND",33803
