"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty48227","Howard County, TX",32107
"cty17031","Cook County, IL",32100
"cty40107","Okfuskee County, OK",32083
"cty22033","East Baton Rouge Parish, LA",32070
"cty34035","Somerset County, NJ",32068
"cty39111","Monroe County, OH",32066
"cty22059","LaSalle Parish, LA",32064
"cty51157","Rappahannock County, VA",32062
"cty16085","Valley County, ID",32059
"cty08089","Otero County, CO",32054
"cty42059","Greene County, PA",32054
"cty48361","Orange County, TX",32048
"cty29033","Carroll County, MO",32044
"cty27167","Wilkin County, MN",32041
"cty02220","Sitka City and Borough, AK",32038
"cty22081","Red River Parish, LA",32034
"cty18115","Ohio County, IN",32007
"cty19005","Allamakee County, IA",32000
"cty48273","Kleberg County, TX",31994
"cty48075","Childress County, TX",31990
"cty48383","Reagan County, TX",31987
"cty27071","Koochiching County, MN",31974
"cty22083","Richland Parish, LA",31965
"cty08003","Alamosa County, CO",31955
"cty48091","Comal County, TX",31953
"cty17085","Jo Daviess County, IL",31951
"cty27141","Sherburne County, MN",31945
"cty22111","Union Parish, LA",31939
"cty39121","Noble County, OH",31938
"cty19107","Keokuk County, IA",31936
"cty27097","Morrison County, MN",31927
"cty40141","Tillman County, OK",31926
"cty48365","Panola County, TX",31923
"cty17013","Calhoun County, IL",31917
"cty40103","Noble County, OK",31915
"cty16047","Gooding County, ID",31913
"cty48117","Deaf Smith County, TX",31911
"cty41063","Wallowa County, OR",31909
"cty49053","Washington County, UT",31901
"cty19045","Clinton County, IA",31899
"cty42105","Potter County, PA",31882
"cty48159","Franklin County, TX",31882
"cty56043","Washakie County, WY",31881
"cty34041","Warren County, NJ",31881
"cty30111","Yellowstone County, MT",31877
"cty46037","Day County, SD",31874
"cty24031","Montgomery County, MD",31866
"cty40051","Grady County, OK",31863
"cty17043","DuPage County, IL",31862
"cty01107","Pickens County, AL",31854
"cty27079","Le Sueur County, MN",31851
"cty16061","Lewis County, ID",31850
"cty35005","Chaves County, NM",31839
"cty29075","Gentry County, MO",31839
"cty30089","Sanders County, MT",31838
"cty30077","Powell County, MT",31819
"cty48171","Gillespie County, TX",31818
"cty31019","Buffalo County, NE",31812
"cty54103","Wetzel County, WV",31811
"cty48071","Chambers County, TX",31809
"cty48325","Medina County, TX",31805
"cty55043","Grant County, WI",31801
"cty06085","Santa Clara County, CA",31794
"cty19089","Howard County, IA",31793
"cty12067","Lafayette County, FL",31787
"cty35028","Los Alamos County, NM",31787
"cty48125","Dickens County, TX",31786
"cty27017","Carlton County, MN",31784
"cty20073","Greenwood County, KS",31780
"cty27135","Roseau County, MN",31767
"cty49057","Weber County, UT",31761
"cty19169","Story County, IA",31761
"cty34031","Passaic County, NJ",31754
"cty48399","Runnels County, TX",31752
"cty26131","Ontonagon County, MI",31742
"cty19059","Dickinson County, IA",31740
"cty48291","Liberty County, TX",31728
"cty17185","Wabash County, IL",31716
"cty19135","Monroe County, IA",31710
"cty53001","Adams County, WA",31708
"cty46005","Beadle County, SD",31690
"cty36001","Albany County, NY",31683
"cty46035","Davison County, SD",31682
"cty13061","Clay County, GA",31678
"cty08069","Larimer County, CO",31664
"cty55115","Shawano County, WI",31661
"cty31025","Cass County, NE",31650
"cty53073","Whatcom County, WA",31635
"cty40117","Pawnee County, OK",31624
"cty16059","Lemhi County, ID",31612
"cty01091","Marengo County, AL",31602
"cty49045","Tooele County, UT",31600
"cty42091","Montgomery County, PA",31595
"cty27007","Beltrami County, MN",31594
"cty22105","Tangipahoa Parish, LA",31594
"cty48497","Wise County, TX",31593
"cty37073","Gates County, NC",31581
"cty20013","Brown County, KS",31575
"cty42131","Wyoming County, PA",31573
"cty27021","Cass County, MN",31567
"cty48201","Harris County, TX",31556
"cty27053","Hennepin County, MN",31551
"cty30007","Broadwater County, MT",31548
"cty16053","Jerome County, ID",31545
"cty19077","Guthrie County, IA",31543
"cty16013","Blaine County, ID",31542
"cty20027","Clay County, KS",31542
"cty31067","Gage County, NE",31538
"cty48411","San Saba County, TX",31534
"cty27035","Crow Wing County, MN",31523
"cty48477","Washington County, TX",31522
"cty19025","Calhoun County, IA",31520
"cty08027","Custer County, CO",31506
"cty42117","Tioga County, PA",31504
"cty42065","Jefferson County, PA",31501
"cty30047","Lake County, MT",31500
"cty08073","Lincoln County, CO",31499
"cty24027","Howard County, MD",31497
"cty40137","Stephens County, OK",31484
"cty42031","Clarion County, PA",31484
"cty49039","Sanpete County, UT",31481
"cty29063","DeKalb County, MO",31477
"cty31079","Hall County, NE",31476
"cty49021","Iron County, UT",31468
"cty55097","Portage County, WI",31457
"cty42045","Delaware County, PA",31453
"cty19133","Monona County, IA",31450
"cty19145","Page County, IA",31442
"cty46065","Hughes County, SD",31438
"cty25009","Essex County, MA",31434
"cty48215","Hidalgo County, TX",31433
"cty55049","Iowa County, WI",31430
"cty48419","Shelby County, TX",31428
"cty40077","Latimer County, OK",31424
"cty30031","Gallatin County, MT",31424
"cty08005","Arapahoe County, CO",31423
"cty55141","Wood County, WI",31417
"cty17079","Jasper County, IL",31414
"cty35033","Mora County, NM",31413
"cty42077","Lehigh County, PA",31405
"cty51683","Manassas city, VA",31401
"cty49007","Carbon County, UT",31399
"cty35041","Roosevelt County, NM",31394
"cty02020","Anchorage Municipality, AK",31391
"cty17041","Douglas County, IL",31386
"cty48001","Anderson County, TX",31383
"cty48167","Galveston County, TX",31373
"cty28079","Leake County, MS",31371
"cty22079","Rapides Parish, LA",31363
"cty08109","Saguache County, CO",31360
"cty41023","Grant County, OR",31350
"cty25025","Suffolk County, MA",31334
"cty31031","Cherry County, NE",31331
"cty22095","St. John the Baptist Parish, LA",31330
"cty28163","Yazoo County, MS",31329
"cty18159","Tipton County, IN",31314
"cty40067","Jefferson County, OK",31302
"cty22063","Livingston Parish, LA",31299
"cty42029","Chester County, PA",31297
"cty22115","Vernon Parish, LA",31295
"cty27165","Watonwan County, MN",31295
"cty35007","Colfax County, NM",31294
"cty55131","Washington County, WI",31282
"cty20041","Dickinson County, KS",31281
"cty53047","Okanogan County, WA",31275
"cty53023","Garfield County, WA",31272
"cty30099","Teton County, MT",31270
"cty27059","Isanti County, MN",31267
"cty35009","Curry County, NM",31267
"cty30071","Phillips County, MT",31266
"cty31053","Dodge County, NE",31260
"cty27013","Blue Earth County, MN",31256
"cty48179","Gray County, TX",31253
"cty48351","Newton County, TX",31240
"cty27137","St. Louis County, MN",31239
"cty06069","San Benito County, CA",31239
"cty48451","Tom Green County, TX",31230
"cty41061","Union County, OR",31228
"cty20009","Barton County, KS",31225
"cty27003","Anoka County, MN",31216
"cty48023","Baylor County, TX",31204
"cty04017","Navajo County, AZ",31201
"cty29045","Clark County, MO",31201
"cty11001","District of Columbia, DC",31191
"cty26071","Iron County, MI",31185
"cty20101","Lane County, KS",31171
"cty19041","Clay County, IA",31166
"cty55055","Jefferson County, WI",31145
"cty48195","Hansford County, TX",31134
"cty55065","Lafayette County, WI",31126
"cty02105","Hoonah-Angoon Census Area, AK",31118
"cty53051","Pend Oreille County, WA",31114
"cty17093","Kendall County, IL",31113
"cty06005","Amador County, CA",31111
"cty36095","Schoharie County, NY",31098
"cty39013","Belmont County, OH",31078
"cty06075","San Francisco County, CA",31077
"cty19029","Cass County, IA",31075
"cty48355","Nueces County, TX",31071
"cty48035","Bosque County, TX",31068
"cty28077","Lawrence County, MS",31066
"cty27057","Hubbard County, MN",31066
"cty55089","Ozaukee County, WI",31066
"cty31083","Harlan County, NE",31061
"cty09001","Fairfield County, CT",31057
"cty20165","Rush County, KS",31045
"cty48339","Montgomery County, TX",31041
"cty56021","Laramie County, WY",31039
"cty48007","Aransas County, TX",31035
"cty48327","Menard County, TX",31033
"cty48279","Lamb County, TX",31029
"cty22075","Plaquemines Parish, LA",31028
"cty37131","Northampton County, NC",31027
"cty40015","Caddo County, OK",31016
"cty08013","Boulder County, CO",31011
"cty55071","Manitowoc County, WI",31010
"cty17111","McHenry County, IL",31002
"cty27123","Ramsey County, MN",31001
"cty42017","Bucks County, PA",30997
"cty48253","Jones County, TX",30993
"cty55013","Burnett County, WI",30992
"cty08115","Sedgwick County, CO",30992
"cty27099","Mower County, MN",30990
"cty51036","Charles City County, VA",30986
"cty40087","McClain County, OK",30981
"cty55135","Waupaca County, WI",30981
"cty20049","Elk County, KS",30976
"cty40017","Canadian County, OK",30975
"cty19117","Lucas County, IA",30975
"cty20115","Marion County, KS",30974
"cty19123","Mahaska County, IA",30974
"cty55019","Clark County, WI",30971
"cty27109","Olmsted County, MN",30969
"cty18007","Benton County, IN",30968
"cty16015","Boise County, ID",30967
"cty19085","Harrison County, IA",30963
"cty48165","Gaines County, TX",30957
"cty35017","Grant County, NM",30952
"cty22127","Winn Parish, LA",30952
"cty48491","Williamson County, TX",30948
"cty51181","Surry County, VA",30948
"cty08093","Park County, CO",30939
"cty20089","Jewell County, KS",30938
"cty20111","Lyon County, KS",30920
"cty16019","Bonneville County, ID",30912
"cty22021","Caldwell Parish, LA",30911
"cty40083","Logan County, OK",30910
"cty48225","Houston County, TX",30908
"cty08077","Mesa County, CO",30894
"cty48397","Rockwall County, TX",30891
"cty26141","Presque Isle County, MI",30889
"cty08085","Montrose County, CO",30879
"cty24013","Carroll County, MD",30877
"cty08047","Gilpin County, CO",30874
"cty20127","Morris County, KS",30868
"cty18073","Jasper County, IN",30865
"cty31131","Otoe County, NE",30864
"cty54021","Gilmer County, WV",30855
"cty48467","Van Zandt County, TX",30852
"cty40065","Jackson County, OK",30838
"cty36029","Erie County, NY",30836
"cty48041","Brazos County, TX",30829
"cty01037","Coosa County, AL",30822
"cty42125","Washington County, PA",30813
"cty41021","Gilliam County, OR",30806
"cty06017","El Dorado County, CA",30799
"cty16017","Bonner County, ID",30794
"cty40105","Nowata County, OK",30791
"cty16033","Clark County, ID",30787
"cty31183","Wheeler County, NE",30786
"cty17027","Clinton County, IL",30786
"cty26053","Gogebic County, MI",30780
"cty48373","Polk County, TX",30777
"cty19049","Dallas County, IA",30770
"cty55027","Dodge County, WI",30766
"cty48203","Harrison County, TX",30763
"cty50023","Washington County, VT",30760
"cty17133","Monroe County, IL",30759
"cty28089","Madison County, MS",30757
"cty06083","Santa Barbara County, CA",30750
"cty19177","Van Buren County, IA",30747
"cty17047","Edwards County, IL",30747
"cty48405","San Augustine County, TX",30745
"cty28001","Adams County, MS",30740
"cty48133","Eastland County, TX",30736
"cty17131","Mercer County, IL",30735
"cty06001","Alameda County, CA",30724
"cty55021","Columbia County, WI",30719
"cty16043","Fremont County, ID",30716
"cty08059","Jefferson County, CO",30709
"cty28031","Covington County, MS",30683
"cty20091","Johnson County, KS",30680
"cty28069","Kemper County, MS",30677
"cty35053","Socorro County, NM",30675
"cty31061","Franklin County, NE",30672
"cty20077","Harper County, KS",30663
"cty28085","Lincoln County, MS",30661
"cty21215","Spencer County, KY",30648
"cty48265","Kerr County, TX",30646
"cty27095","Mille Lacs County, MN",30634
"cty17091","Kankakee County, IL",30627
"cty17157","Randolph County, IL",30621
"cty16055","Kootenai County, ID",30611
"cty27055","Houston County, MN",30609
"cty04009","Graham County, AZ",30605
"cty46099","Minnehaha County, SD",30588
"cty25023","Plymouth County, MA",30579
"cty35027","Lincoln County, NM",30577
"cty06059","Orange County, CA",30576
"cty41049","Morrow County, OR",30568
"cty18039","Elkhart County, IN",30562
"cty30061","Mineral County, MT",30560
"cty36087","Rockland County, NY",30551
"cty42005","Armstrong County, PA",30536
"cty26063","Huron County, MI",30535
"cty06043","Mariposa County, CA",30531
"cty48459","Upshur County, TX",30525
"cty06013","Contra Costa County, CA",30508
"cty51013","Arlington County, VA",30506
"cty30093","Silver Bow County, MT",30503
"cty06029","Kern County, CA",30499
"cty31153","Sarpy County, NE",30489
"cty55005","Barron County, WI",30482
"cty26061","Houghton County, MI",30469
"cty23021","Piscataquis County, ME",30465
"cty30051","Liberty County, MT",30458
"cty53033","King County, WA",30455
"cty06037","Los Angeles County, CA",30451
"cty55045","Green County, WI",30446
"cty17197","Will County, IL",30445
"cty20143","Ottawa County, KS",30442
"cty53057","Skagit County, WA",30433
"cty55107","Rusk County, WI",30433
"cty05027","Columbia County, AR",30421
"cty17073","Henry County, IL",30409
"cty51043","Clarke County, VA",30406
"cty48085","Collin County, TX",30403
"cty22043","Grant Parish, LA",30400
"cty46103","Pennington County, SD",30396
"cty33015","Rockingham County, NH",30388
"cty20109","Logan County, KS",30383
"cty42071","Lancaster County, PA",30378
"cty17147","Piatt County, IL",30371
"cty42003","Allegheny County, PA",30358
"cty36027","Dutchess County, NY",30355
"cty48043","Brewster County, TX",30343
"cty28015","Carroll County, MS",30341
"cty42127","Wayne County, PA",30340
"cty20087","Jefferson County, KS",30340
"cty27115","Pine County, MN",30334
"cty48183","Gregg County, TX",30330
"cty05039","Dallas County, AR",30329
"cty17053","Ford County, IL",30326
"cty55133","Waukesha County, WI",30320
"cty29157","Perry County, MO",30319
"cty42129","Westmoreland County, PA",30318
"cty40011","Blaine County, OK",30309
"cty18089","Lake County, IN",30309
"cty34029","Ocean County, NJ",30303
"cty19193","Woodbury County, IA",30297
"cty53019","Ferry County, WA",30297
"cty48121","Denton County, TX",30295
"cty19129","Mills County, IA",30295
"cty29003","Andrew County, MO",30282
"cty40063","Hughes County, OK",30275
"cty42001","Adams County, PA",30273
"cty19181","Warren County, IA",30272
"cty16009","Benewah County, ID",30267
"cty40029","Coal County, OK",30266
"cty20201","Washington County, KS",30258
"cty18147","Spencer County, IN",30258
"cty54041","Lewis County, WV",30247
"cty28111","Perry County, MS",30246
"cty22015","Bossier Parish, LA",30245
"cty25001","Barnstable County, MA",30245
"cty28125","Sharkey County, MS",30239
"cty29061","Daviess County, MO",30238
"cty44001","Bristol County, RI",30232
"cty16045","Gem County, ID",30231
"cty19187","Webster County, IA",30227
"cty48489","Willacy County, TX",30227
"cty39011","Auglaize County, OH",30227
"cty42019","Butler County, PA",30209
"cty29186","Ste. Genevieve County, MO",30203
"cty55075","Marinette County, WI",30185
"cty55039","Fond du Lac County, WI",30174
"cty54051","Marshall County, WV",30174
"cty35006","Cibola County, NM",30163
"cty19103","Johnson County, IA",30163
"cty55003","Ashland County, WI",30162
"cty39157","Tuscarawas County, OH",30158
"cty28007","Attala County, MS",30158
"cty20107","Linn County, KS",30151
"cty01041","Crenshaw County, AL",30150
"cty19079","Hamilton County, IA",30147
"cty51127","New Kent County, VA",30143
"cty06079","San Luis Obispo County, CA",30139
"cty17015","Carroll County, IL",30139
"cty48347","Nacogdoches County, TX",30139
"cty56007","Carbon County, WY",30131
"cty26089","Leelanau County, MI",30126
"cty55085","Oneida County, WI",30122
"cty53065","Stevens County, WA",30120
"cty48335","Mitchell County, TX",30114
"cty35019","Guadalupe County, NM",30104
"cty48441","Taylor County, TX",30103
"cty37041","Chowan County, NC",30098
"cty28113","Pike County, MS",30098
"cty35049","Santa Fe County, NM",30094
"cty35029","Luna County, NM",30090
"cty42011","Berks County, PA",30083
"cty06035","Lassen County, CA",30077
"cty01109","Pike County, AL",30071
"cty08097","Pitkin County, CO",30070
"cty09013","Tolland County, CT",30067
"cty34015","Gloucester County, NJ",30059
"cty18027","Daviess County, IN",30057
"cty20191","Sumner County, KS",30050
"cty08105","Rio Grande County, CO",30038
"cty50019","Orleans County, VT",30037
"cty29049","Clinton County, MO",30037
"cty55009","Brown County, WI",30026
"cty31071","Garfield County, NE",30019
"cty48251","Johnson County, TX",30017
"cty20161","Riley County, KS",30012
"cty41065","Wasco County, OR",30005
"cty06073","San Diego County, CA",30004
"cty34033","Salem County, NJ",30002
"cty21233","Webster County, KY",29998
"cty55017","Chippewa County, WI",29992
"cty08083","Montezuma County, CO",29987
"cty20079","Harvey County, KS",29986
"cty55111","Sauk County, WI",29981
"cty42115","Susquehanna County, PA",29980
"cty20121","Miami County, KS",29974
"cty40119","Payne County, OK",29972
"cty48097","Cooke County, TX",29964
"cty17019","Champaign County, IL",29964
"cty30013","Cascade County, MT",29960
"cty19073","Greene County, IA",29959
"cty48281","Lampasas County, TX",29956
"cty48067","Cass County, TX",29956
"cty41037","Lake County, OR",29944
"cty25027","Worcester County, MA",29939
"cty12021","Collier County, FL",29938
"cty22051","Jefferson Parish, LA",29930
"cty48303","Lubbock County, TX",29929
"cty29211","Sullivan County, MO",29922
"cty35039","Rio Arriba County, NM",29914
"cty40071","Kay County, OK",29905
"cty29227","Worth County, MO",29894
"cty09009","New Haven County, CT",29886
"cty19195","Worth County, IA",29886
"cty17155","Putnam County, IL",29882
"cty17011","Bureau County, IL",29882
"cty48187","Guadalupe County, TX",29876
"cty37187","Washington County, NC",29874
"cty19197","Wright County, IA",29868
"cty20175","Seward County, KS",29864
"cty06097","Sonoma County, CA",29849
"cty20035","Cowley County, KS",29845
"cty28157","Wilkinson County, MS",29839
"cty17149","Pike County, IL",29839
"cty09003","Hartford County, CT",29830
"cty17075","Iroquois County, IL",29826
"cty39051","Fulton County, OH",29822
"cty41005","Clackamas County, OR",29821
"cty29111","Lewis County, MO",29814
"cty13189","McDuffie County, GA",29814
"cty55073","Marathon County, WI",29813
"cty48381","Randall County, TX",29811
"cty36057","Montgomery County, NY",29811
"cty29037","Cass County, MO",29808
"cty53007","Chelan County, WA",29806
"cty29129","Mercer County, MO",29792
"cty17187","Warren County, IL",29792
"cty19067","Floyd County, IA",29785
"cty19015","Boone County, IA",29777
"cty19069","Franklin County, IA",29777
"cty48407","San Jacinto County, TX",29770
"cty39125","Paulding County, OH",29769
"cty48031","Blanco County, TX",29768
"cty17173","Shelby County, IL",29759
"cty29165","Platte County, MO",29749
"cty01025","Clarke County, AL",29747
"cty29197","Schuyler County, MO",29745
"cty17035","Cumberland County, IL",29738
"cty55087","Outagamie County, WI",29737
"cty39037","Darke County, OH",29737
"cty48061","Cameron County, TX",29736
"cty40099","Murray County, OK",29729
"cty42007","Beaver County, PA",29726
"cty55035","Eau Claire County, WI",29722
"cty40061","Haskell County, OK",29720
"cty25015","Hampshire County, MA",29715
"cty06111","Ventura County, CA",29712
"cty17103","Lee County, IL",29712
"cty06061","Placer County, CA",29709
"cty18179","Wells County, IN",29709
"cty19159","Ringgold County, IA",29686
"cty40131","Rogers County, OK",29685
"cty45065","McCormick County, SC",29681
"cty30063","Missoula County, MT",29670
"cty13167","Johnson County, GA",29656
"cty42067","Juniata County, PA",29650
"cty06055","Napa County, CA",29647
"cty39173","Wood County, OH",29647
"cty51620","Franklin city, VA",29647
"cty09007","Middlesex County, CT",29643
"cty28159","Winston County, MS",29638
"cty30049","Lewis and Clark County, MT",29637
"cty17069","Hardin County, IL",29637
"cty34021","Mercer County, NJ",29634
"cty29177","Ray County, MO",29626
"cty22031","De Soto Parish, LA",29620
"cty26037","Clinton County, MI",29611
"cty18085","Kosciusko County, IN",29609
"cty04005","Coconino County, AZ",29607
"cty36091","Saratoga County, NY",29605
"cty26043","Dickinson County, MI",29601
"cty55023","Crawford County, WI",29599
"cty39103","Medina County, OH",29596
"cty36121","Wyoming County, NY",29588
"cty48145","Falls County, TX",29588
"cty54077","Preston County, WV",29586
"cty29147","Nodaway County, MO",29579
"cty46071","Jackson County, SD",29577
"cty29047","Clay County, MO",29577
"cty48387","Red River County, TX",29574
"cty36039","Greene County, NY",29572
"cty30023","Deer Lodge County, MT",29569
"cty18127","Porter County, IN",29557
"cty06095","Solano County, CA",29546
"cty16083","Twin Falls County, ID",29543
"cty30029","Flathead County, MT",29535
"cty53025","Grant County, WA",29534
"cty13107","Emanuel County, GA",29531
"cty28091","Marion County, MS",29530
"cty42051","Fayette County, PA",29529
"cty19125","Marion County, IA",29522
"cty42075","Lebanon County, PA",29520
"cty29121","Macon County, MO",29513
"cty55123","Vernon County, WI",29512
"cty08119","Teller County, CO",29511
"cty34007","Camden County, NJ",29507
"cty01075","Lamar County, AL",29497
"cty50005","Caledonia County, VT",29485
"cty21027","Breckinridge County, KY",29484
"cty36083","Rensselaer County, NY",29478
"cty39055","Geauga County, OH",29473
"cty17097","Lake County, IL",29471
"cty55083","Oconto County, WI",29467
"cty17037","DeKalb County, IL",29461
"cty55063","La Crosse County, WI",29454
"cty40127","Pushmataha County, OK",29451
"cty28133","Sunflower County, MS",29447
"cty51101","King William County, VA",29442
"cty13083","Dade County, GA",29441
"cty29205","Shelby County, MO",29426
"cty19001","Adair County, IA",29415
"cty51199","York County, VA",29414
"cty21177","Muhlenberg County, KY",29408
"cty21225","Union County, KY",29406
"cty42097","Northumberland County, PA",29402
"cty17191","Wayne County, IL",29400
"cty13113","Fayette County, GA",29394
"cty32001","Churchill County, NV",29393
"cty48073","Cherokee County, TX",29389
"cty19163","Scott County, IA",29377
"cty55033","Dunn County, WI",29377
"cty48333","Mills County, TX",29374
"cty40049","Garvin County, OK",29371
"cty24033","Prince George's County, MD",29371
"cty42107","Schuylkill County, PA",29365
"cty48223","Hopkins County, TX",29364
"cty04007","Gila County, AZ",29361
"cty39123","Ottawa County, OH",29349
"cty48021","Bastrop County, TX",29341
"cty12047","Hamilton County, FL",29337
"cty45017","Calhoun County, SC",29336
"cty40069","Johnston County, OK",29333
"cty18129","Posey County, IN",29333
"cty20099","Labette County, KS",29331
"cty24009","Calvert County, MD",29330
"cty42015","Bradford County, PA",29326
"cty19053","Decatur County, IA",29323
"cty42061","Huntingdon County, PA",29322
"cty19113","Linn County, IA",29314
"cty42089","Monroe County, PA",29304
"cty42095","Northampton County, PA",29303
"cty17007","Boone County, IL",29303
"cty18183","Whitley County, IN",29303
"cty36049","Lewis County, NY",29296
"cty19139","Muscatine County, IA",29290
"cty42119","Union County, PA",29283
"cty15003","Honolulu County, HI",29277
"cty18051","Gibson County, IN",29276
"cty36093","Schenectady County, NY",29273
"cty51735","Poquoson city, VA",29273
"cty29151","Osage County, MO",29272
"cty17165","Saline County, IL",29269
"cty26139","Ottawa County, MI",29268
"cty01105","Perry County, AL",29268
"cty41025","Harney County, OR",29262
"cty50011","Franklin County, VT",29257
"cty44005","Newport County, RI",29257
"cty55113","Sawyer County, WI",29247
"cty24035","Queen Anne's County, MD",29244
"cty51103","Lancaster County, VA",29225
"cty51097","King and Queen County, VA",29222
"cty53061","Snohomish County, WA",29221
"cty36071","Orange County, NY",29221
"cty25011","Franklin County, MA",29215
"cty21091","Hancock County, KY",29212
"cty26151","Sanilac County, MI",29210
"cty35043","Sandoval County, NM",29206
"cty18131","Pulaski County, IN",29204
"cty29079","Grundy County, MO",29191
"cty53055","San Juan County, WA",29189
"cty19175","Union County, IA",29184
"cty50021","Rutland County, VT",29182
"cty17023","Clark County, IL",29170
"cty20205","Wilson County, KS",29170
"cty53017","Douglas County, WA",29164
"cty42069","Lackawanna County, PA",29160
"cty33011","Hillsborough County, NH",29159
"cty41067","Washington County, OR",29148
"cty17203","Woodford County, IL",29148
"cty29183","St. Charles County, MO",29142
"cty19057","Des Moines County, IA",29142
"cty45089","Williamsburg County, SC",29138
"cty42021","Cambria County, PA",29138
"cty54015","Clay County, WV",29125
"cty20019","Chautauqua County, KS",29123
"cty48363","Palo Pinto County, TX",29122
"cty19003","Adams County, IA",29121
"cty06025","Imperial County, CA",29108
"cty48305","Lynn County, TX",29108
"cty36069","Ontario County, NY",29103
"cty39019","Carroll County, OH",29101
"cty02110","Juneau City and Borough, AK",29097
"cty42033","Clearfield County, PA",29097
"cty19127","Marshall County, IA",29088
"cty48049","Brown County, TX",29085
"cty54017","Doddridge County, WV",29081
"cty53075","Whitman County, WA",29075
"cty17033","Crawford County, IL",29073
"cty35003","Catron County, NM",29072
"cty48029","Bexar County, TX",29070
"cty34005","Burlington County, NJ",29067
"cty51027","Buchanan County, VA",29067
"cty28023","Clarke County, MS",29065
"cty51085","Hanover County, VA",29064
"cty51087","Henrico County, VA",29063
"cty35051","Sierra County, NM",29058
"cty40089","McCurtain County, OK",29057
"cty34009","Cape May County, NJ",29057
"cty18123","Perry County, IN",29051
"cty55047","Green Lake County, WI",29044
"cty20057","Ford County, KS",29041
"cty19153","Polk County, IA",29036
"cty19007","Appanoose County, IA",29036
"cty17059","Gallatin County, IL",29029
"cty48141","El Paso County, TX",29024
"cty39175","Wyandot County, OH",29014
"cty20185","Stafford County, KS",29012
"cty42073","Lawrence County, PA",29009
"cty48423","Smith County, TX",29005
"cty22071","Orleans Parish, LA",29005
"cty25005","Bristol County, MA",29004
"cty22049","Jackson Parish, LA",29002
"cty17117","Macoupin County, IL",29000
"cty53059","Skamania County, WA",28997
"cty20093","Kearny County, KS",28997
"cty55081","Monroe County, WI",28984
"cty41001","Baker County, OR",28984
"cty08025","Crowley County, CO",28982
"cty18181","White County, IN",28980
"cty48193","Hamilton County, TX",28977
"cty19099","Jasper County, IA",28972
"cty51670","Hopewell city, VA",28969
"cty55037","Florence County, WI",28968
"cty19033","Cerro Gordo County, IA",28965
"cty50013","Grand Isle County, VT",28963
"cty55101","Racine County, WI",28962
"cty24021","Frederick County, MD",28960
"cty33003","Carroll County, NH",28960
"cty22087","St. Bernard Parish, LA",28959
"cty31001","Adams County, NE",28940
"cty18125","Pike County, IN",28939
"cty40075","Kiowa County, OK",28931
"cty25013","Hampden County, MA",28929
"cty06063","Plumas County, CA",28929
"cty22067","Morehouse Parish, LA",28922
"cty06093","Siskiyou County, CA",28918
"cty42047","Elk County, PA",28917
"cty18113","Noble County, IN",28913
"cty42027","Centre County, PA",28908
"cty40085","Love County, OK",28906
"cty50015","Lamoille County, VT",28906
"cty20053","Ellsworth County, KS",28905
"cty51153","Prince William County, VA",28904
"cty41045","Malheur County, OR",28903
"cty19013","Black Hawk County, IA",28902
"cty51187","Warren County, VA",28896
"cty55031","Douglas County, WI",28888
"cty04025","Yavapai County, AZ",28886
"cty40019","Carter County, OK",28885
"cty42025","Carbon County, PA",28877
"cty54095","Tyler County, WV",28877
"cty54007","Braxton County, WV",28876
"cty21007","Ballard County, KY",28875
"cty08099","Prowers County, CO",28858
"cty31055","Douglas County, NE",28851
"cty48139","Ellis County, TX",28850
"cty01005","Barbour County, AL",28842
"cty44007","Providence County, RI",28841
"cty36111","Ulster County, NY",28837
"cty06101","Sutter County, CA",28834
"cty48083","Coleman County, TX",28823
"cty48499","Wood County, TX",28816
"cty53041","Lewis County, WA",28811
"cty13121","Fulton County, GA",28811
"cty55129","Washburn County, WI",28811
"cty40111","Okmulgee County, OK",28807
"cty41057","Tillamook County, OR",28804
"cty13181","Lincoln County, GA",28798
"cty48455","Trinity County, TX",28797
"cty24037","St. Mary's County, MD",28793
"cty36099","Seneca County, NY",28790
"cty20139","Osage County, KS",28786
"cty39099","Mahoning County, OH",28782
"cty08031","Denver County, CO",28778
"cty29139","Montgomery County, MO",28774
"cty37177","Tyrrell County, NC",28767
"cty24005","Baltimore County, MD",28766
"cty53071","Walla Walla County, WA",28763
"cty29107","Lafayette County, MO",28759
"cty48367","Parker County, TX",28751
"cty48427","Starr County, TX",28749
"cty06113","Yolo County, CA",28743
"cty35059","Union County, NM",28741
"cty28073","Lamar County, MS",28738
"cty53049","Pacific County, WA",28732
"cty28011","Bolivar County, MS",28732
"cty26003","Alger County, MI",28723
"cty20155","Reno County, KS",28716
"cty17071","Henderson County, IL",28713
"cty41009","Columbia County, OR",28712
"cty42081","Lycoming County, PA",28702
"cty28067","Jones County, MS",28700
"cty48439","Tarrant County, TX",28696
"cty24025","Harford County, MD",28696
"cty02050","Bethel Census Area, AK",28691
"cty48221","Hood County, TX",28688
"cty01053","Escambia County, AL",28687
"cty51179","Stafford County, VA",28684
"cty04013","Maricopa County, AZ",28681
"cty53029","Island County, WA",28681
"cty01039","Covington County, AL",28680
"cty19101","Jefferson County, IA",28674
"cty06087","Santa Cruz County, CA",28672
"cty04003","Cochise County, AZ",28670
"cty36055","Monroe County, NY",28666
"cty23007","Franklin County, ME",28664
