"cty","Name","Individual_Income_Excluding_Spouse_rB_gM_p25"
"cty28041","Greene County, MS",25529
"cty06089","Shasta County, CA",25473
"cty05095","Monroe County, AR",25470
"cty42075","Lebanon County, PA",25426
"cty22037","East Feliciana Parish, LA",25402
"cty36073","Orleans County, NY",25361
"cty28157","Wilkinson County, MS",25357
"cty20055","Finney County, KS",25357
"cty42063","Indiana County, PA",25350
"cty23023","Sagadahoc County, ME",25298
"cty51057","Essex County, VA",25294
"cty28039","George County, MS",25294
"cty05115","Pope County, AR",25264
"cty20091","Johnson County, KS",25255
"cty08101","Pueblo County, CO",25236
"cty40009","Beckham County, OK",25231
"cty19033","Cerro Gordo County, IA",25216
"cty22039","Evangeline Parish, LA",25216
"cty34037","Sussex County, NJ",25200
"cty29195","Saline County, MO",25176
"cty22081","Red River Parish, LA",25160
"cty22095","St. John the Baptist Parish, LA",25151
"cty27003","Anoka County, MN",25125
"cty45065","McCormick County, SC",25125
"cty13231","Pike County, GA",25116
"cty21029","Bullitt County, KY",25100
"cty17141","Ogle County, IL",25088
"cty01091","Marengo County, AL",25058
"cty48215","Hidalgo County, TX",25032
"cty41005","Clackamas County, OR",25030
"cty39087","Lawrence County, OH",25030
"cty47073","Hawkins County, TN",25010
"cty31043","Dakota County, NE",25000
"cty01023","Choctaw County, AL",24997
"cty48449","Titus County, TX",24992
"cty22027","Claiborne Parish, LA",24990
"cty48401","Rusk County, TX",24988
"cty51107","Loudoun County, VA",24984
"cty37073","Gates County, NC",24969
"cty21163","Meade County, KY",24961
"cty22057","Lafourche Parish, LA",24957
"cty15003","Honolulu County, HI",24957
"cty56025","Natrona County, WY",24946
"cty48233","Hutchinson County, TX",24918
"cty26037","Clinton County, MI",24910
"cty51183","Sussex County, VA",24905
"cty27037","Dakota County, MN",24896
"cty22025","Catahoula Parish, LA",24896
"cty34027","Morris County, NJ",24888
"cty51175","Southampton County, VA",24850
"cty48405","San Augustine County, TX",24806
"cty28129","Smith County, MS",24758
"cty40113","Osage County, OK",24728
"cty04017","Navajo County, AZ",24713
"cty49011","Davis County, UT",24706
"cty48161","Freestone County, TX",24695
"cty39031","Coshocton County, OH",24692
"cty46099","Minnehaha County, SD",24690
"cty37111","McDowell County, NC",24656
"cty01107","Pickens County, AL",24653
"cty48291","Liberty County, TX",24640
"cty28073","Lamar County, MS",24638
"cty51159","Richmond County, VA",24635
"cty51193","Westmoreland County, VA",24611
"cty01131","Wilcox County, AL",24610
"cty05053","Grant County, AR",24601
"cty37177","Tyrrell County, NC",24598
"cty01119","Sumter County, AL",24578
"cty28019","Choctaw County, MS",24575
"cty27049","Goodhue County, MN",24569
"cty13011","Banks County, GA",24553
"cty01011","Bullock County, AL",24549
"cty13197","Marion County, GA",24547
"cty51133","Northumberland County, VA",24537
"cty25027","Worcester County, MA",24507
"cty18051","Gibson County, IN",24489
"cty02020","Anchorage Municipality, AK",24485
"cty27163","Washington County, MN",24470
"cty48063","Camp County, TX",24456
"cty28147","Walthall County, MS",24456
"cty51181","Surry County, VA",24448
"cty05025","Cleveland County, AR",24430
"cty56021","Laramie County, WY",24414
"cty40035","Craig County, OK",24397
"cty13183","Long County, GA",24384
"cty53071","Walla Walla County, WA",24380
"cty05033","Crawford County, AR",24379
"cty20005","Atchison County, KS",24369
"cty48469","Victoria County, TX",24368
"cty17005","Bond County, IL",24333
"cty22113","Vermilion Parish, LA",24328
"cty51023","Botetourt County, VA",24315
"cty21035","Calloway County, KY",24310
"cty36053","Madison County, NY",24303
"cty48287","Lee County, TX",24283
"cty34003","Bergen County, NJ",24277
"cty45071","Newberry County, SC",24274
"cty51007","Amelia County, VA",24227
"cty05061","Howard County, AR",24209
"cty48419","Shelby County, TX",24199
"cty27137","St. Louis County, MN",24194
"cty41067","Washington County, OR",24167
"cty13219","Oconee County, GA",24164
"cty37103","Jones County, NC",24162
"cty48289","Leon County, TX",24129
"cty36081","Queens County, NY",24113
"cty13263","Talbot County, GA",24101
"cty28153","Wayne County, MS",24092
"cty05019","Clark County, AR",24078
"cty18173","Warrick County, IN",24045
"cty01121","Talladega County, AL",24028
"cty13171","Lamar County, GA",24019
"cty13301","Warren County, GA",24019
"cty25009","Essex County, MA",24018
"cty48407","San Jacinto County, TX",24016
"cty01017","Chambers County, AL",24002
"cty06041","Marin County, CA",23998
"cty28131","Stone County, MS",23992
"cty51033","Caroline County, VA",23986
"cty22043","Grant Parish, LA",23975
"cty29097","Jasper County, MO",23946
"cty28005","Amite County, MS",23940
"cty51153","Prince William County, VA",23891
"cty20079","Harvey County, KS",23881
"cty40119","Payne County, OK",23857
"cty17095","Knox County, IL",23856
"cty33015","Rockingham County, NH",23850
"cty34023","Middlesex County, NJ",23829
"cty24009","Calvert County, MD",23824
"cty48397","Rockwall County, TX",23818
"cty45089","Williamsburg County, SC",23797
"cty47143","Rhea County, TN",23782
"cty51179","Stafford County, VA",23778
"cty48015","Austin County, TX",23770
"cty48409","San Patricio County, TX",23747
"cty08005","Arapahoe County, CO",23743
"cty48465","Val Verde County, TX",23736
"cty47051","Franklin County, TN",23726
"cty33011","Hillsborough County, NH",23721
"cty05037","Cross County, AR",23703
"cty25023","Plymouth County, MA",23697
"cty18029","Dearborn County, IN",23681
"cty36091","Saratoga County, NY",23681
"cty21229","Washington County, KY",23674
"cty48115","Dawson County, TX",23655
"cty51185","Tazewell County, VA",23648
"cty54069","Ohio County, WV",23646
"cty28139","Tippah County, MS",23645
"cty39077","Huron County, OH",23637
"cty22055","Lafayette Parish, LA",23629
"cty22019","Calcasieu Parish, LA",23629
"cty28009","Benton County, MS",23624
"cty39009","Athens County, OH",23622
"cty06113","Yolo County, CA",23619
"cty01035","Conecuh County, AL",23611
"cty48097","Cooke County, TX",23591
"cty45081","Saluda County, SC",23566
"cty01065","Hale County, AL",23565
"cty18103","Miami County, IN",23545
"cty22053","Jefferson Davis Parish, LA",23541
"cty24033","Prince George's County, MD",23528
"cty36079","Putnam County, NY",23526
"cty28091","Marion County, MS",23517
"cty01043","Cullman County, AL",23515
"cty25025","Suffolk County, MA",23506
"cty48225","Houston County, TX",23484
"cty13039","Camden County, GA",23480
"cty01093","Marion County, AL",23477
"cty22125","West Feliciana Parish, LA",23471
"cty13145","Harris County, GA",23469
"cty29177","Ray County, MO",23467
"cty48199","Hardin County, TX",23463
"cty51093","Isle of Wight County, VA",23452
"cty21209","Scott County, KY",23422
"cty48491","Williamson County, TX",23405
"cty42037","Columbia County, PA",23389
"cty22009","Avoyelles Parish, LA",23383
"cty23005","Cumberland County, ME",23379
"cty51840","Winchester city, VA",23377
"cty28023","Clarke County, MS",23376
"cty22033","East Baton Rouge Parish, LA",23375
"cty48187","Guadalupe County, TX",23373
"cty16027","Canyon County, ID",23369
"cty01123","Tallapoosa County, AL",23365
"cty01013","Butler County, AL",23362
"cty35031","McKinley County, NM",23361
"cty17073","Henry County, IL",23360
"cty22049","Jackson Parish, LA",23351
"cty36047","Kings County, NY",23345
"cty48493","Wilson County, TX",23342
"cty04027","Yuma County, AZ",23335
"cty48051","Burleson County, TX",23322
"cty22045","Iberia Parish, LA",23321
"cty51620","Franklin city, VA",23316
"cty22127","Winn Parish, LA",23286
"cty13195","Madison County, GA",23274
"cty36059","Nassau County, NY",23247
"cty40065","Jackson County, OK",23227
"cty34039","Union County, NJ",23226
"cty01057","Fayette County, AL",23223
"cty13169","Jones County, GA",23222
"cty51113","Madison County, VA",23221
"cty51043","Clarke County, VA",23202
"cty49057","Weber County, UT",23194
"cty01071","Jackson County, AL",23189
"cty18083","Knox County, IN",23185
"cty05079","Lincoln County, AR",23173
"cty28031","Covington County, MS",23171
"cty35061","Valencia County, NM",23164
"cty45087","Union County, SC",23164
"cty35025","Lea County, NM",23151
"cty17099","LaSalle County, IL",23148
"cty13141","Hancock County, GA",23142
"cty34035","Somerset County, NJ",23131
"cty42079","Luzerne County, PA",23128
"cty01077","Lauderdale County, AL",23123
"cty29155","Pemiscot County, MO",23119
"cty54107","Wood County, WV",23113
"cty27141","Sherburne County, MN",23103
"cty51199","York County, VA",23103
"cty48085","Collin County, TX",23098
"cty40091","McIntosh County, OK",23096
"cty34005","Burlington County, NJ",23066
"cty01075","Lamar County, AL",23060
"cty48245","Jefferson County, TX",23059
"cty39083","Knox County, OH",23054
"cty22077","Pointe Coupee Parish, LA",23037
"cty21233","Webster County, KY",23029
"cty51510","Alexandria city, VA",23018
"cty29169","Pulaski County, MO",23015
"cty20161","Riley County, KS",23005
"cty40047","Garfield County, OK",22981
"cty28103","Noxubee County, MS",22974
"cty28057","Itawamba County, MS",22974
"cty45059","Laurens County, SC",22970
"cty48141","El Paso County, TX",22964
"cty39103","Medina County, OH",22961
"cty22031","De Soto Parish, LA",22936
"cty42025","Carbon County, PA",22932
"cty48165","Gaines County, TX",22917
"cty13313","Whitfield County, GA",22903
"cty28113","Pike County, MS",22896
"cty13239","Quitman County, GA",22890
"cty45015","Berkeley County, SC",22888
"cty27109","Olmsted County, MN",22882
"cty49035","Salt Lake County, UT",22874
"cty01081","Lee County, AL",22841
"cty01039","Covington County, AL",22840
"cty17029","Coles County, IL",22833
"cty26103","Marquette County, MI",22826
"cty25005","Bristol County, MA",22819
"cty20155","Reno County, KS",22806
"cty30111","Yellowstone County, MT",22797
"cty22051","Jefferson Parish, LA",22781
"cty37131","Northampton County, NC",22779
"cty37031","Carteret County, NC",22778
"cty28007","Attala County, MS",22759
"cty36119","Westchester County, NY",22756
"cty40013","Bryan County, OK",22734
"cty45037","Edgefield County, SC",22730
"cty20111","Lyon County, KS",22729
"cty28069","Kemper County, MS",22718
"cty06023","Humboldt County, CA",22710
"cty51570","Colonial Heights city, VA",22710
"cty13055","Chattooga County, GA",22708
"cty26111","Midland County, MI",22707
"cty01053","Escambia County, AL",22688
"cty48339","Montgomery County, TX",22675
"cty28101","Newton County, MS",22669
"cty48203","Harrison County, TX",22667
"cty36111","Ulster County, NY",22663
"cty51075","Goochland County, VA",22647
"cty48395","Robertson County, TX",22643
"cty30013","Cascade County, MT",22631
"cty09007","Middlesex County, CT",22628
"cty13295","Walker County, GA",22628
"cty13271","Telfair County, GA",22620
"cty47109","McNairy County, TN",22619
"cty28085","Lincoln County, MS",22617
"cty29071","Franklin County, MO",22615
"cty47081","Hickman County, TN",22608
"cty24035","Queen Anne's County, MD",22601
"cty55039","Fond du Lac County, WI",22588
"cty51036","Charles City County, VA",22583
"cty45061","Lee County, SC",22576
"cty48457","Tyler County, TX",22575
"cty26087","Lapeer County, MI",22574
"cty27123","Ramsey County, MN",22572
"cty45035","Dorchester County, SC",22548
"cty01109","Pike County, AL",22547
"cty01007","Bibb County, AL",22540
"cty51009","Amherst County, VA",22536
"cty05011","Bradley County, AR",22518
"cty06085","Santa Clara County, CA",22516
"cty28155","Webster County, MS",22513
"cty51149","Prince George County, VA",22509
"cty22085","Sabine Parish, LA",22508
"cty48061","Cameron County, TX",22506
"cty51013","Arlington County, VA",22500
"cty37185","Warren County, NC",22479
"cty51085","Hanover County, VA",22474
"cty48481","Wharton County, TX",22465
"cty19113","Linn County, IA",22464
"cty48223","Hopkins County, TX",22457
"cty13305","Wayne County, GA",22441
"cty45075","Orangeburg County, SC",22403
"cty48351","Newton County, TX",22399
"cty37053","Currituck County, NC",22391
"cty22115","Vernon Parish, LA",22384
"cty13321","Worth County, GA",22380
"cty24047","Worcester County, MD",22378
"cty21185","Oldham County, KY",22361
"cty37117","Martin County, NC",22360
"cty26005","Allegan County, MI",22343
"cty20061","Geary County, KS",22331
"cty47021","Cheatham County, TN",22327
"cty13053","Chattahoochee County, GA",22326
"cty22001","Acadia Parish, LA",22319
"cty51025","Brunswick County, VA",22309
"cty01051","Elmore County, AL",22308
"cty24005","Baltimore County, MD",22296
"cty40107","Okfuskee County, OK",22295
"cty01063","Greene County, AL",22291
"cty21125","Laurel County, KY",22269
"cty50007","Chittenden County, VT",22253
"cty17105","Livingston County, IL",22252
"cty51069","Frederick County, VA",22250
"cty48121","Denton County, TX",22234
"cty21217","Taylor County, KY",22233
"cty28097","Montgomery County, MS",22232
"cty13209","Montgomery County, GA",22226
"cty22109","Terrebonne Parish, LA",22216
"cty22101","St. Mary Parish, LA",22204
"cty06059","Orange County, CA",22182
"cty28015","Carroll County, MS",22156
"cty22013","Bienville Parish, LA",22144
"cty36085","Richmond County, NY",22143
"cty36005","Bronx County, NY",22140
"cty01085","Lowndes County, AL",22140
"cty28001","Adams County, MS",22139
"cty13235","Pulaski County, GA",22123
"cty22111","Union Parish, LA",22120
"cty34009","Cape May County, NJ",22117
"cty22121","West Baton Rouge Parish, LA",22103
"cty45023","Chester County, SC",22093
"cty55071","Manitowoc County, WI",22092
"cty18157","Tippecanoe County, IN",22081
"cty28051","Holmes County, MS",22080
"cty42027","Centre County, PA",22079
"cty51650","Hampton city, VA",22074
"cty48459","Upshur County, TX",22065
"cty13017","Ben Hill County, GA",22055
"cty31153","Sarpy County, NE",22050
"cty13243","Randolph County, GA",22050
"cty17195","Whiteside County, IL",22033
"cty29047","Clay County, MO",22028
"cty13135","Gwinnett County, GA",22028
"cty29027","Callaway County, MO",22018
"cty41053","Polk County, OR",22015
"cty12021","Collier County, FL",22014
"cty45047","Greenwood County, SC",22013
"cty36045","Jefferson County, NY",22008
"cty40039","Custer County, OK",22007
"cty37171","Surry County, NC",21996
"cty22083","Richland Parish, LA",21985
"cty28071","Lafayette County, MS",21985
"cty24003","Anne Arundel County, MD",21981
"cty13049","Charlton County, GA",21981
"cty22011","Beauregard Parish, LA",21978
"cty01049","DeKalb County, AL",21977
"cty28089","Madison County, MS",21973
"cty46103","Pennington County, SD",21970
"cty48227","Howard County, TX",21970
"cty48467","Van Zandt County, TX",21969
"cty05001","Arkansas County, AR",21955
"cty36075","Oswego County, NY",21941
"cty13107","Emanuel County, GA",21930
"cty34033","Salem County, NJ",21929
"cty55133","Waukesha County, WI",21923
"cty21101","Henderson County, KY",21920
"cty21009","Barren County, KY",21883
"cty48241","Jasper County, TX",21879
"cty36035","Fulton County, NY",21878
"cty51685","Manassas Park city, VA",21870
"cty39173","Wood County, OH",21868
"cty15009","Maui County, HI",21867
"cty37187","Washington County, NC",21864
"cty22021","Caldwell Parish, LA",21858
