"cty","Name","Individual_Income_Excluding_Spouse_rB_gM_p25"
"cty13097","Douglas County, GA",20747
"cty47103","Lincoln County, TN",20730
"cty53053","Pierce County, WA",20728
"cty26067","Ionia County, MI",20718
"cty13193","Macon County, GA",20715
"cty39091","Logan County, OH",20712
"cty13237","Putnam County, GA",20710
"cty22103","St. Tammany Parish, LA",20700
"cty24017","Charles County, MD",20698
"cty28141","Tishomingo County, MS",20697
"cty06097","Sonoma County, CA",20695
"cty39013","Belmont County, OH",20693
"cty26139","Ottawa County, MI",20688
"cty34025","Monmouth County, NJ",20685
"cty37003","Alexander County, NC",20683
"cty13173","Lanier County, GA",20679
"cty25001","Barnstable County, MA",20677
"cty13143","Haralson County, GA",20676
"cty40121","Pittsburg County, OK",20674
"cty45025","Chesterfield County, SC",20674
"cty33017","Strafford County, NH",20663
"cty51177","Spotsylvania County, VA",20654
"cty22017","Caddo Parish, LA",20642
"cty31109","Lancaster County, NE",20636
"cty22069","Natchitoches Parish, LA",20636
"cty05123","St. Francis County, AR",20635
"cty39145","Scioto County, OH",20631
"cty13113","Fayette County, GA",20627
"cty09011","New London County, CT",20624
"cty04025","Yavapai County, AZ",20623
"cty20059","Franklin County, KS",20616
"cty37015","Bertie County, NC",20609
"cty20011","Bourbon County, KS",20607
"cty12049","Hardee County, FL",20604
"cty21093","Hardin County, KY",20603
"cty01015","Calhoun County, AL",20600
"cty21161","Mason County, KY",20599
"cty19013","Black Hawk County, IA",20599
"cty48177","Gonzales County, TX",20595
"cty47115","Marion County, TN",20589
"cty45043","Georgetown County, SC",20587
"cty55127","Walworth County, WI",20581
"cty22091","St. Helena Parish, LA",20577
"cty20035","Cowley County, KS",20576
"cty42091","Montgomery County, PA",20572
"cty28149","Warren County, MS",20566
"cty45073","Oconee County, SC",20563
"cty51061","Fauquier County, VA",20558
"cty44005","Newport County, RI",20554
"cty51660","Harrisonburg city, VA",20544
"cty54055","Mercer County, WV",20542
"cty55117","Sheboygan County, WI",20540
"cty45057","Lancaster County, SC",20535
"cty45031","Darlington County, SC",20530
"cty13175","Laurens County, GA",20523
"cty51800","Suffolk city, VA",20512
"cty48201","Harris County, TX",20501
"cty54057","Mineral County, WV",20483
"cty28035","Forrest County, MS",20476
"cty48349","Navarro County, TX",20469
"cty36061","New York County, NY",20453
"cty05069","Jefferson County, AR",20452
"cty48185","Grimes County, TX",20448
"cty29187","St. Francois County, MO",20441
"cty12133","Washington County, FL",20438
"cty36109","Tompkins County, NY",20434
"cty28013","Calhoun County, MS",20427
"cty13293","Upson County, GA",20424
"cty42085","Mercer County, PA",20424
"cty51700","Newport News city, VA",20414
"cty08041","El Paso County, CO",20412
"cty06095","Solano County, CA",20407
"cty13035","Butts County, GA",20405
"cty13153","Houston County, GA",20402
"cty13247","Rockdale County, GA",20396
"cty29107","Lafayette County, MO",20392
"cty51047","Culpeper County, VA",20387
"cty04003","Cochise County, AZ",20386
"cty48183","Gregg County, TX",20383
"cty18163","Vanderburgh County, IN",20369
"cty06101","Sutter County, CA",20365
"cty18167","Vigo County, IN",20354
"cty28093","Marshall County, MS",20353
"cty18043","Floyd County, IN",20349
"cty42089","Monroe County, PA",20341
"cty34029","Ocean County, NJ",20338
"cty48503","Young County, TX",20332
"cty06083","Santa Barbara County, CA",20328
"cty47187","Williamson County, TN",20321
"cty13163","Jefferson County, GA",20320
"cty22079","Rapides Parish, LA",20313
"cty51079","Greene County, VA",20308
"cty39081","Jefferson County, OH",20306
"cty01111","Randolph County, AL",20304
"cty22041","Franklin Parish, LA",20294
"cty01095","Marshall County, AL",20292
"cty42095","Northampton County, PA",20292
"cty45033","Dillon County, SC",20286
"cty28163","Yazoo County, MS",20280
"cty11001","District of Columbia, DC",20279
"cty55139","Winnebago County, WI",20276
"cty53033","King County, WA",20266
"cty37007","Anson County, NC",20263
"cty24021","Frederick County, MD",20259
"cty18133","Putnam County, IN",20259
"cty48451","Tom Green County, TX",20251
"cty06073","San Diego County, CA",20243
"cty17197","Will County, IL",20241
"cty21179","Nelson County, KY",20241
"cty47177","Warren County, TN",20235
"cty01103","Morgan County, AL",20234
"cty18089","Lake County, IN",20230
"cty21107","Hopkins County, KY",20226
"cty51073","Gloucester County, VA",20225
"cty37163","Sampson County, NC",20220
"cty06053","Monterey County, CA",20219
"cty51683","Manassas city, VA",20217
"cty28119","Quitman County, MS",20216
"cty29051","Cole County, MO",20215
"cty29095","Jackson County, MO",20203
"cty34017","Hudson County, NJ",20192
"cty22015","Bossier Parish, LA",20191
"cty05045","Faulkner County, AR",20182
"cty12121","Suwannee County, FL",20176
"cty42125","Washington County, PA",20176
"cty45011","Barnwell County, SC",20175
"cty05013","Calhoun County, AR",20172
"cty40135","Sequoyah County, OK",20170
"cty13019","Berrien County, GA",20167
"cty40111","Okmulgee County, OK",20166
"cty13037","Calhoun County, GA",20164
"cty13093","Dooly County, GA",20161
"cty01073","Jefferson County, AL",20144
"cty06065","Riverside County, CA",20131
"cty01087","Macon County, AL",20129
"cty17093","Kendall County, IL",20119
"cty51087","Henrico County, VA",20118
"cty28011","Bolivar County, MS",20116
"cty40137","Stephens County, OK",20111
"cty48029","Bexar County, TX",20104
"cty01113","Russell County, AL",20103
"cty48485","Wichita County, TX",20098
"cty12086","Miami-Dade County, FL",20090
"cty37017","Bladen County, NC",20089
"cty22067","Morehouse Parish, LA",20083
"cty29163","Pike County, MO",20079
"cty04005","Coconino County, AZ",20076
"cty24015","Cecil County, MD",20066
"cty39133","Portage County, OH",20065
"cty17007","Boone County, IL",20063
"cty01105","Perry County, AL",20060
"cty02090","Fairbanks North Star Borough, AK",20059
"cty29143","New Madrid County, MO",20058
"cty48027","Bell County, TX",20055
"cty42045","Delaware County, PA",20044
"cty13105","Elbert County, GA",20039
"cty13285","Troup County, GA",20035
"cty42029","Chester County, PA",20017
"cty47009","Blount County, TN",20013
"cty12011","Broward County, FL",20010
"cty17153","Pulaski County, IL",20010
"cty51029","Buckingham County, VA",20004
"cty17127","Massac County, IL",20002
"cty13051","Chatham County, GA",20000
"cty51081","Greensville County, VA",20000
"cty45005","Allendale County, SC",19996
"cty37083","Halifax County, NC",19987
"cty28045","Hancock County, MS",19987
"cty47183","Weakley County, TN",19984
"cty13181","Lincoln County, GA",19976
"cty36015","Chemung County, NY",19974
"cty01033","Colbert County, AL",19972
"cty13157","Jackson County, GA",19970
"cty12017","Citrus County, FL",19967
"cty32031","Washoe County, NV",19964
"cty45083","Spartanburg County, SC",19962
"cty37161","Rutherford County, NC",19960
"cty27083","Lyon County, MN",19955
"cty13099","Early County, GA",19954
"cty19193","Woodbury County, IA",19944
"cty35045","San Juan County, NM",19924
"cty51089","Henry County, VA",19924
"cty47107","McMinn County, TN",19915
"cty45049","Hampton County, SC",19911
"cty05039","Dallas County, AR",19908
"cty42007","Beaver County, PA",19908
"cty37041","Chowan County, NC",19896
"cty27171","Wright County, MN",19890
"cty13261","Sumter County, GA",19884
"cty05027","Columbia County, AR",19881
"cty21227","Warren County, KY",19880
"cty24011","Caroline County, MD",19877
"cty04013","Maricopa County, AZ",19856
"cty05143","Washington County, AR",19850
"cty37033","Caswell County, NC",19845
"cty01067","Henry County, AL",19844
"cty13073","Columbia County, GA",19840
"cty36103","Suffolk County, NY",19835
"cty48273","Kleberg County, TX",19834
"cty23031","York County, ME",19833
"cty21155","Marion County, KY",19807
"cty06071","San Bernardino County, CA",19806
"cty13077","Coweta County, GA",19804
"cty05077","Lee County, AR",19797
"cty47147","Robertson County, TN",19791
"cty06029","Kern County, CA",19776
"cty48441","Taylor County, TX",19772
"cty45013","Beaufort County, SC",19770
"cty13119","Franklin County, GA",19764
"cty24045","Wicomico County, MD",19763
"cty10005","Sussex County, DE",19751
"cty37019","Brunswick County, NC",19747
"cty51135","Nottoway County, VA",19740
"cty05107","Phillips County, AR",19739
"cty37197","Yadkin County, NC",19738
"cty47071","Hardin County, TN",19737
"cty13245","Richmond County, GA",19726
"cty40083","Logan County, OK",19722
"cty24041","Talbot County, MD",19720
"cty13307","Webster County, GA",19709
"cty01001","Autauga County, AL",19701
"cty45091","York County, SC",19699
"cty01101","Montgomery County, AL",19678
"cty45003","Aiken County, SC",19671
"cty40075","Kiowa County, OK",19669
"cty26149","St. Joseph County, MI",19669
"cty04015","Mohave County, AZ",19659
"cty45041","Florence County, SC",19653
"cty40089","McCurtain County, OK",19633
"cty01127","Walker County, AL",19628
"cty28159","Winston County, MS",19614
"cty48005","Angelina County, TX",19611
"cty26099","Macomb County, MI",19610
"cty37143","Perquimans County, NC",19608
"cty48073","Cherokee County, TX",19608
"cty47099","Lawrence County, TN",19607
"cty53063","Spokane County, WA",19591
"cty13015","Bartow County, GA",19587
"cty13251","Screven County, GA",19584
"cty01115","St. Clair County, AL",19580
"cty40051","Grady County, OK",19570
"cty13059","Clarke County, GA",19570
"cty45079","Richland County, SC",19569
"cty41017","Deschutes County, OR",19564
"cty31119","Madison County, NE",19556
"cty39169","Wayne County, OH",19556
"cty48439","Tarrant County, TX",19553
"cty21059","Daviess County, KY",19548
"cty13067","Cobb County, GA",19545
"cty01055","Etowah County, AL",19542
"cty12097","Osceola County, FL",19538
"cty24039","Somerset County, MD",19537
"cty42107","Schuylkill County, PA",19532
"cty22107","Tensas Parish, LA",19525
"cty47011","Bradley County, TN",19519
"cty28033","DeSoto County, MS",19513
"cty47069","Hardeman County, TN",19506
"cty12005","Bay County, FL",19502
"cty48041","Brazos County, TX",19487
"cty27139","Scott County, MN",19486
"cty12099","Palm Beach County, FL",19475
"cty12101","Pasco County, FL",19470
"cty28021","Claiborne County, MS",19469
"cty13013","Barrow County, GA",19460
"cty42069","Lackawanna County, PA",19458
"cty51003","Albemarle County, VA",19452
"cty26161","Washtenaw County, MI",19440
"cty20099","Labette County, KS",19439
"cty37133","Onslow County, NC",19439
"cty45007","Anderson County, SC",19436
"cty17089","Kane County, IL",19415
"cty54047","McDowell County, WV",19411
"cty37149","Polk County, NC",19404
"cty37137","Pamlico County, NC",19394
"cty18063","Hendricks County, IN",19388
"cty18091","LaPorte County, IN",19375
"cty13149","Heard County, GA",19370
"cty21221","Trigg County, KY",19365
"cty24001","Allegany County, MD",19365
"cty12035","Flagler County, FL",19358
"cty01019","Cherokee County, AL",19357
"cty13303","Washington County, GA",19347
"cty28029","Copiah County, MS",19345
"cty51095","James City County, VA",19345
"cty51145","Powhatan County, VA",19344
"cty28027","Coahoma County, MS",19343
"cty22073","Ouachita Parish, LA",19343
"cty40079","Le Flore County, OK",19338
"cty18005","Bartholomew County, IN",19330
"cty17137","Morgan County, IL",19325
"cty22029","Concordia Parish, LA",19312
"cty41051","Multnomah County, OR",19310
"cty28075","Lauderdale County, MS",19306
"cty26045","Eaton County, MI",19302
"cty13147","Hart County, GA",19294
"cty48347","Nacogdoches County, TX",19278
"cty47075","Haywood County, TN",19273
"cty37127","Nash County, NC",19272
"cty48361","Orange County, TX",19261
"cty40147","Washington County, OK",19260
"cty29137","Monroe County, MO",19254
"cty20209","Wyandotte County, KS",19250
"cty48277","Lamar County, TX",19250
"cty19153","Polk County, IA",19248
"cty13155","Irwin County, GA",19238
"cty40081","Lincoln County, OK",19236
"cty20057","Ford County, KS",19235
"cty12013","Calhoun County, FL",19232
"cty37169","Stokes County, NC",19229
"cty40049","Garvin County, OK",19223
"cty13057","Cherokee County, GA",19220
"cty13167","Johnson County, GA",19220
"cty06013","Contra Costa County, CA",19217
"cty12075","Levy County, FL",19217
"cty24510","Baltimore city, MD",19215
"cty12029","Dixie County, FL",19214
"cty53009","Clallam County, WA",19210
"cty06001","Alameda County, CA",19209
"cty13063","Clayton County, GA",19207
"cty45051","Horry County, SC",19204
"cty48117","Deaf Smith County, TX",19199
"cty37179","Union County, NC",19190
"cty21145","McCracken County, KY",19179
"cty34019","Hunterdon County, NJ",19166
"cty51775","Salem city, VA",19147
"cty13045","Carroll County, GA",19145
"cty39033","Crawford County, OH",19141
"cty51143","Pittsylvania County, VA",19140
"cty47077","Henderson County, TN",19139
"cty13229","Pierce County, GA",19131
"cty53011","Clark County, WA",19128
"cty05145","White County, AR",19126
"cty13089","DeKalb County, GA",19125
"cty13115","Floyd County, GA",19125
"cty05093","Mississippi County, AR",19120
"cty18019","Clark County, IN",19120
"cty47031","Coffee County, TN",19106
"cty48303","Lubbock County, TX",19100
"cty04019","Pima County, AZ",19093
"cty01031","Coffee County, AL",19091
"cty34007","Camden County, NJ",19080
"cty12091","Okaloosa County, FL",19078
"cty26147","St. Clair County, MI",19072
"cty48001","Anderson County, TX",19069
"cty48387","Red River County, TX",19068
"cty37195","Wilson County, NC",19065
"cty06047","Merced County, CA",19062
"cty40143","Tulsa County, OK",19057
"cty13139","Hall County, GA",19049
"cty21117","Kenton County, KY",19038
"cty51710","Norfolk city, VA",19037
"cty06045","Mendocino County, CA",19035
"cty39017","Butler County, OH",19027
"cty47053","Gibson County, TN",19027
"cty17163","St. Clair County, IL",19017
"cty51580","Covington city, VA",19008
"cty21113","Jessamine County, KY",18998
"cty51011","Appomattox County, VA",18994
"cty47043","Dickson County, TN",18988
"cty51830","Williamsburg city, VA",18979
"cty54049","Marion County, WV",18978
"cty37065","Edgecombe County, NC",18972
"cty36027","Dutchess County, NY",18968
"cty01069","Houston County, AL",18962
"cty42051","Fayette County, PA",18942
"cty51740","Portsmouth city, VA",18930
"cty47045","Dyer County, TN",18928
"cty48145","Falls County, TX",18920
"cty01045","Dale County, AL",18919
"cty12109","St. Johns County, FL",18915
"cty51161","Roanoke County, VA",18913
"cty21067","Fayette County, KY",18911
"cty46093","Meade County, SD",18906
"cty13117","Forsyth County, GA",18904
"cty47155","Sevier County, TN",18902
"cty42103","Pike County, PA",18898
"cty12033","Escambia County, FL",18891
"cty37059","Davie County, NC",18891
"cty28135","Tallahatchie County, MS",18884
"cty48231","Hunt County, TX",18883
"cty36071","Orange County, NY",18880
"cty13215","Muscogee County, GA",18878
"cty47065","Hamilton County, TN",18876
"cty42133","York County, PA",18876
"cty13151","Henry County, GA",18873
"cty47149","Rutherford County, TN",18869
"cty48213","Henderson County, TX",18866
"cty48055","Caldwell County, TX",18857
"cty22035","East Carroll Parish, LA",18856
"cty13319","Wilkinson County, GA",18853
"cty22065","Madison Parish, LA",18847
"cty21111","Jefferson County, KY",18833
"cty41047","Marion County, OR",18830
"cty13279","Toombs County, GA",18826
"cty36057","Montgomery County, NY",18825
"cty01061","Geneva County, AL",18822
"cty37183","Wake County, NC",18808
"cty19139","Muscatine County, IA",18807
"cty47123","Monroe County, TN",18805
"cty37135","Orange County, NC",18803
"cty55055","Jefferson County, WI",18799
"cty29189","St. Louis County, MO",18785
"cty51790","Staunton city, VA",18774
"cty28083","Leflore County, MS",18773
"cty34021","Mercer County, NJ",18769
"cty29007","Audrain County, MO",18766
"cty28053","Humphreys County, MS",18760
"cty45009","Bamberg County, SC",18756
"cty48453","Travis County, TX",18753
"cty37057","Davidson County, NC",18742
"cty05139","Union County, AR",18738
"cty39085","Lake County, OH",18736
"cty51147","Prince Edward County, VA",18728
"cty51019","Bedford County, VA",18724
"cty51065","Fluvanna County, VA",18723
"cty26075","Jackson County, MI",18720
"cty51117","Mecklenburg County, VA",18715
"cty48113","Dallas County, TX",18713
"cty37047","Columbus County, NC",18712
"cty40071","Kay County, OK",18705
"cty50025","Windham County, VT",18697
"cty55089","Ozaukee County, WI",18694
"cty28105","Oktibbeha County, MS",18685
"cty28025","Clay County, MS",18680
"cty37051","Cumberland County, NC",18661
"cty42017","Bucks County, PA",18661
"cty25003","Berkshire County, MA",18660
"cty36013","Chautauqua County, NY",18650
"cty12051","Hendry County, FL",18650
"cty06093","Siskiyou County, CA",18625
"cty36029","Erie County, NY",18615
"cty39119","Muskingum County, OH",18604
"cty18057","Hamilton County, IN",18596
"cty13079","Crawford County, GA",18593
"cty21239","Woodford County, KY",18593
"cty21033","Caldwell County, KY",18592
"cty13109","Evans County, GA",18587
"cty21213","Simpson County, KY",18584
"cty42001","Adams County, PA",18575
"cty13043","Candler County, GA",18564
"cty26091","Lenawee County, MI",18561
"cty12107","Putnam County, FL",18559
"cty05031","Craighead County, AR",18552
"cty53077","Yakima County, WA",18548
"cty13091","Dodge County, GA",18545
"cty37071","Gaston County, NC",18535
"cty48053","Burnet County, TX",18533
"cty13223","Paulding County, GA",18531
"cty48049","Brown County, TX",18529
"cty42101","Philadelphia County, PA",18521
"cty05125","Saline County, AR",18521
"cty37069","Franklin County, NC",18519
"cty48375","Potter County, TX",18513
"cty37107","Lenoir County, NC",18494
"cty34011","Cumberland County, NJ",18491
"cty05035","Crittenden County, AR",18461
"cty10003","New Castle County, DE",18452
"cty12117","Seminole County, FL",18451
"cty36001","Albany County, NY",18445
"cty28049","Hinds County, MS",18444
"cty47037","Davidson County, TN",18431
"cty17161","Rock Island County, IL",18428
"cty13233","Polk County, GA",18422
"cty09009","New Haven County, CT",18407
"cty24037","St. Mary's County, MD",18392
"cty47079","Henry County, TN",18389
"cty53021","Franklin County, WA",18385
"cty21211","Shelby County, KY",18383
"cty47113","Madison County, TN",18374
"cty54025","Greenbrier County, WV",18370
"cty28161","Yalobusha County, MS",18368
"cty05119","Pulaski County, AR",18349
"cty28087","Lowndes County, MS",18348
"cty13255","Spalding County, GA",18342
"cty05091","Miller County, AR",18341
"cty18003","Allen County, IN",18339
"cty51083","Halifax County, VA",18339
"cty20177","Shawnee County, KS",18334
"cty37049","Craven County, NC",18332
"cty17121","Marion County, IL",18328
"cty13185","Lowndes County, GA",18325
"cty06037","Los Angeles County, CA",18311
"cty06031","Kings County, CA",18304
"cty12119","Sumter County, FL",18292
"cty54037","Jefferson County, WV",18287
"cty37021","Buncombe County, NC",18276
"cty40101","Muskogee County, OK",18276
"cty37013","Beaufort County, NC",18275
"cty20173","Sedgwick County, KS",18241
"cty39053","Gallia County, OH",18233
"cty12027","DeSoto County, FL",18228
"cty17103","Lee County, IL",18225
"cty24043","Washington County, MD",18214
"cty47167","Tipton County, TN",18211
"cty48265","Kerr County, TX",18211
"cty20169","Saline County, KS",18210
"cty42081","Lycoming County, PA",18208
"cty12129","Wakulla County, FL",18207
"cty12111","St. Lucie County, FL",18186
"cty41039","Lane County, OR",18179
"cty12089","Nassau County, FL",18174
"cty13159","Jasper County, GA",18169
"cty36093","Schenectady County, NY",18157
"cty21083","Graves County, KY",18155
"cty06025","Imperial County, CA",18154
"cty48479","Webb County, TX",18142
"cty13299","Ware County, GA",18141
"cty34031","Passaic County, NJ",18128
"cty17117","Macoupin County, IL",18124
"cty39089","Licking County, OH",18123
"cty54011","Cabell County, WV",18109
"cty51820","Waynesboro city, VA",18109
"cty13217","Newton County, GA",18101
"cty37167","Stanly County, NC",18095
"cty13031","Bulloch County, GA",18094
"cty17031","Cook County, IL",18092
"cty26163","Wayne County, MI",18068
"cty13121","Fulton County, GA",18065
"cty29121","Macon County, MO",18050
"cty47003","Bedford County, TN",18049
"cty42011","Berks County, PA",18046
"cty05051","Garland County, AR",18045
"cty47125","Montgomery County, TN",18041
"cty13221","Oglethorpe County, GA",18041
"cty32003","Clark County, NV",18032
"cty31055","Douglas County, NE",18026
"cty05073","Lafayette County, AR",18026
"cty37045","Cleveland County, NC",18026
"cty06099","Stanislaus County, CA",18000
"cty51590","Danville city, VA",17995
"cty21037","Campbell County, KY",17988
"cty19163","Scott County, IA",17987
"cty47019","Carter County, TN",17981
"cty26021","Berrien County, MI",17977
"cty12113","Santa Rosa County, FL",17977
"cty18039","Elkhart County, IN",17969
"cty51197","Wythe County, VA",17967
"cty12093","Okeechobee County, FL",17965
"cty12131","Walton County, FL",17965
"cty18097","Marion County, IN",17953
"cty12079","Madison County, FL",17952
"cty47047","Fayette County, TN",17941
"cty12095","Orange County, FL",17940
"cty55025","Dane County, WI",17940
"cty12031","Duval County, FL",17924
"cty42021","Cambria County, PA",17919
"cty37093","Hoke County, NC",17918
"cty01009","Blount County, AL",17917
"cty37097","Iredell County, NC",17916
"cty16019","Bonneville County, ID",17915
"cty20125","Montgomery County, KS",17915
"cty28055","Issaquena County, MS",17911
"cty28109","Pearl River County, MS",17907
"cty51173","Smyth County, VA",17904
"cty37125","Moore County, NC",17899
"cty48147","Fannin County, TX",17884
"cty12055","Highlands County, FL",17860
"cty17187","Warren County, IL",17858
"cty06103","Tehama County, CA",17857
"cty51031","Campbell County, VA",17856
"cty36105","Sullivan County, NY",17850
"cty47163","Sullivan County, TN",17841
"cty37079","Greene County, NC",17836
"cty13297","Walton County, GA",17824
"cty47001","Anderson County, TN",17823
"cty37157","Rockingham County, NC",17822
"cty21073","Franklin County, KY",17817
"cty13269","Taylor County, GA",17814
"cty51053","Dinwiddie County, VA",17812
"cty48309","McLennan County, TX",17799
"cty05085","Lonoke County, AR",17789
"cty29053","Cooper County, MO",17784
"cty13009","Baldwin County, GA",17783
"cty39147","Seneca County, OH",17778
"cty29069","Dunklin County, MO",17770
"cty13081","Crisp County, GA",17766
"cty39095","Lucas County, OH",17764
"cty01089","Madison County, AL",17764
"cty37151","Randolph County, NC",17746
"cty37037","Chatham County, NC",17732
"cty13283","Treutlen County, GA",17722
"cty47119","Maury County, TN",17713
"cty18035","Delaware County, IN",17713
"cty37119","Mecklenburg County, NC",17711
"cty28151","Washington County, MS",17697
"cty28047","Harrison County, MS",17692
"cty47085","Humphreys County, TN",17687
"cty21141","Logan County, KY",17674
"cty37025","Cabarrus County, NC",17667
"cty27145","Stearns County, MN",17663
"cty29019","Boone County, MO",17654
"cty06077","San Joaquin County, CA",17649
"cty35013","Do±íáüna County, NM",17641
"cty48471","Walker County, TX",17636
"cty37153","Richmond County, NC",17631
"cty48181","Grayson County, TX",17623
"cty37023","Burke County, NC",17622
"cty17037","DeKalb County, IL",17622
"cty39023","Clark County, OH",17612
"cty36007","Broome County, NY",17609
"cty47157","Shelby County, TN",17598
"cty48487","Wilbarger County, TX",17589
"cty12071","Lee County, FL",17582
"cty37035","Catawba County, NC",17576
"cty13005","Bacon County, GA",17565
"cty13275","Thomas County, GA",17558
"cty53073","Whatcom County, WA",17551
"cty37085","Harnett County, NC",17536
"cty21151","Madison County, KY",17532
"cty12123","Taylor County, FL",17520
"cty13021","Bibb County, GA",17520
"cty28133","Sunflower County, MS",17500
"cty39049","Franklin County, OH",17490
"cty42003","Allegheny County, PA",17490
"cty42055","Franklin County, PA",17476
"cty06067","Sacramento County, CA",17464
"cty12057","Hillsborough County, FL",17464
"cty37165","Scotland County, NC",17463
"cty51730","Petersburg city, VA",17461
"cty26065","Ingham County, MI",17458
"cty37123","Montgomery County, NC",17452
"cty48343","Morris County, TX",17451
"cty48021","Bastrop County, TX",17442
"cty12077","Liberty County, FL",17440
"cty17097","Lake County, IL",17434
"cty29077","Greene County, MO",17433
"cty17003","Alexander County, IL",17433
"cty26081","Kent County, MI",17430
"cty13095","Dougherty County, GA",17427
"cty28107","Panola County, MS",17417
"cty42099","Perry County, PA",17417
"cty55105","Rock County, WI",17409
"cty37063","Durham County, NC",17400
"cty51067","Franklin County, VA",17395
"cty37141","Pender County, NC",17393
"cty48057","Calhoun County, TX",17391
"cty37159","Rowan County, NC",17389
"cty51005","Alleghany County, VA",17384
"cty29127","Marion County, MO",17384
"cty37089","Henderson County, NC",17382
"cty21049","Clark County, KY",17374
"cty12047","Hamilton County, FL",17374
"cty36021","Columbia County, NY",17370
"cty51630","Fredericksburg city, VA",17357
"cty55079","Milwaukee County, WI",17356
"cty26107","Mecosta County, MI",17351
"cty47017","Carroll County, TN",17335
"cty17113","McLean County, IL",17322
"cty16001","Ada County, ID",17310
"cty26017","Bay County, MI",17305
"cty37001","Alamance County, NC",17290
"cty37081","Guilford County, NC",17289
"cty39003","Allen County, OH",17287
"cty53029","Island County, WA",17282
"cty19045","Clinton County, IA",17281
"cty35035","Otero County, NM",17272
"cty08035","Douglas County, CO",17269
"cty51037","Charlotte County, VA",17268
"cty26049","Genesee County, MI",17259
"cty17183","Vermilion County, IL",17250
"cty17091","Kankakee County, IL",17243
"cty48209","Hays County, TX",17239
"cty37029","Camden County, NC",17231
"cty39157","Tuscarawas County, OH",17227
"cty20045","Douglas County, KS",17226
"cty17019","Champaign County, IL",17220
"cty37145","Person County, NC",17212
"cty54003","Berkeley County, WV",17201
"cty05003","Ashley County, AR",17187
"cty13075","Cook County, GA",17180
"cty06115","Yuba County, CA",17158
"cty40087","McClain County, OK",17144
"cty21225","Union County, KY",17113
"cty05059","Hot Spring County, AR",17107
"cty17077","Jackson County, IL",17098
"cty39007","Ashtabula County, OH",17083
"cty28117","Prentiss County, MS",17054
"cty36055","Monroe County, NY",17046
"cty55101","Racine County, WI",17041
"cty13315","Wilcox County, GA",17033
"cty37147","Pitt County, NC",17017
"cty13265","Taliaferro County, GA",16972
"cty12073","Leon County, FL",16970
"cty39043","Erie County, OH",16966
"cty19057","Des Moines County, IA",16962
"cty51111","Lunenburg County, VA",16961
"cty47169","Trousdale County, TN",16960
"cty13211","Morgan County, GA",16956
"cty39141","Ross County, OH",16949
"cty12105","Polk County, FL",16945
"cty39113","Montgomery County, OH",16928
"cty17199","Williamson County, IL",16922
"cty17115","Macon County, IL",16911
"cty29510","St. Louis city, MO",16902
"cty13187","Lumpkin County, GA",16901
"cty12009","Brevard County, FL",16900
"cty47097","Lauderdale County, TN",16899
"cty13277","Tift County, GA",16895
"cty51595","Emporia city, VA",16884
"cty40133","Seminole County, OK",16883
"cty37067","Forsyth County, NC",16870
"cty26025","Calhoun County, MI",16869
"cty19111","Lee County, IA",16863
"cty37027","Caldwell County, NC",16859
"cty39063","Hancock County, OH",16857
"cty26077","Kalamazoo County, MI",16849
"cty21099","Hart County, KY",16832
"cty51670","Hopewell city, VA",16831
"cty36063","Niagara County, NY",16827
"cty20121","Miami County, KS",16814
"cty39151","Stark County, OH",16804
"cty29099","Jefferson County, MO",16799
"cty39039","Defiance County, OH",16797
"cty12065","Jefferson County, FL",16789
"cty42049","Erie County, PA",16770
"cty39035","Cuyahoga County, OH",16766
"cty12083","Marion County, FL",16749
"cty13065","Clinch County, GA",16713
"cty04021","Pinal County, AZ",16712
"cty53025","Grant County, WA",16710
"cty39165","Warren County, OH",16706
"cty17143","Peoria County, IL",16695
"cty12001","Alachua County, FL",16686
"cty54039","Kanawha County, WV",16685
"cty26093","Livingston County, MI",16666
"cty12125","Union County, FL",16646
"cty51049","Cumberland County, VA",16640
"cty37155","Robeson County, NC",16639
"cty42043","Dauphin County, PA",16632
"cty13061","Clay County, GA",16629
"cty39153","Summit County, OH",16625
"cty29201","Scott County, MO",16622
"cty06019","Fresno County, CA",16603
"cty36067","Onondaga County, NY",16584
"cty27019","Carver County, MN",16571
"cty18177","Wayne County, IN",16563
"cty42071","Lancaster County, PA",16555
"cty29133","Mississippi County, MO",16540
"cty55131","Washington County, WI",16535
"cty05147","Woodruff County, AR",16466
"cty12023","Columbia County, FL",16439
"cty40037","Creek County, OK",16435
"cty36065","Oneida County, NY",16412
"cty12115","Sarasota County, FL",16407
"cty28143","Tunica County, MS",16406
"cty39099","Mahoning County, OH",16405
"cty42041","Cumberland County, PA",16388
"cty17001","Adams County, IL",16378
"cty12003","Baker County, FL",16374
"cty29219","Warren County, MO",16372
"cty48313","Madison County, TX",16372
"cty19061","Dubuque County, IA",16364
"cty39061","Hamilton County, OH",16360
"cty18067","Howard County, IN",16340
"cty39149","Shelby County, OH",16339
"cty36107","Tioga County, NY",16328
"cty39025","Clermont County, OH",16301
"cty55111","Sauk County, WI",16284
"cty21105","Hickman County, KY",16274
"cty17119","Madison County, IL",16264
"cty39093","Lorain County, OH",16251
"cty36069","Ontario County, NY",16242
"cty51770","Roanoke city, VA",16236
"cty37181","Vance County, NC",16222
"cty51015","Augusta County, VA",16213
"cty39059","Guernsey County, OH",16204
